Gene	Protein	cis_trans_position_1mb_coding_region	nSamples	nCarriers	nNonCarriers	p-value	beta	lower	upper	se	model	Panel	Olink Assay	pan_p	pan_beta	Gene_chr	Gene_Start	Gene_end
ADAMTS16	ADAMTS16	cis-position, cis-gene	44454	261	44193	1.3e-13	-0.418716619	-0.529486437	-0.307946801	0.056514712	flexdmg	Cardiometabolic	ADAMTS16:Q8TE57:OID20089:v1:Cardiometabolic	1.80133E-14	-0.414430796	5	5140330	5320304
SMC6	AFP	trans-position, trans-gene	44766	40	44726	1.3e-13	-1.124665758	-1.422216794	-0.827114721	0.151810436	ptvraredmg	Neurology	AFP:P02771:OID20978:v1:Neurology	9.74331E-13	-1.001661787	2	17663812	17753829
ASGR1	CHRDL2	trans-position, trans-gene	45276	106	45170	1.3e-13	0.682990782	0.502307176	0.863674387	0.092184742	flexdmg	Cardiometabolic	CHRDL2:Q6WN34:OID20223:v1:Cardiometabolic	2.86007E-14	0.687762764	17	7173431	7179564
PDCD5	PDCD5	cis-position, cis-gene	45644	74	45570	1.33e-13	-0.844742966	-1.068324085	-0.621161847	0.114071069	flexdmg	Neurology	PDCD5:O14737:OID21021:v1:Neurology	2.36856E-14	-0.845425119	19	32581190	32587453
NID2	NID2	cis-position, cis-gene	45260	94	45166	1.34e-13	-0.760021167	-0.961216645	-0.558825689	0.102649894	ptv	Neurology	NID2:Q14112:OID21085:v1:Neurology	2.66955E-14	-0.772384285	14	52004809	52069059
PMF1-BGLAP	BGLAP	cis-position, trans-gene	45606	36	45570	1.38e-13	-1.168827767	-1.478381338	-0.859274195	0.157934204	ptv	CardiometabolicII	BGLAP:P02818:OID30389:v1:CardiometabolicII	8.24512E-13	-1.088578572	1	156212988	156243332
PRSS27	PRSS27	cis-position, cis-gene	45135	17	45118	1.4e-13	-1.766893691	-2.234962627	-1.298824755	0.238808663	ptv	Cardiometabolic	PRSS27:Q9BQR3:OID20212:v1:Cardiometabolic	1.38585E-13	-1.742126008	16	2712419	2720551
ADAM23	ADAM23	cis-position, cis-gene	45752	20	45732	1.43e-13	-1.645321115	-2.081381473	-1.209260757	0.222477975	UR	Inflammation	ADAM23:O75077:OID20651:v1:Inflammation	3.8392E-13	-1.53475601	2	206443532	206621127
STAB1	ANGPT2	trans-position, trans-gene	45621	726	44895	1.54e-13	-0.270106176	-0.341785581	-0.198426771	0.036570826	ptvraredmg	Oncology	ANGPT2:O15123:OID21463:v1:Oncology	1.33962E-13	-0.252372101	3	52495338	52524495
CD6	CD6	cis-position, cis-gene	45673	23	45650	1.58e-13	-1.500282067	-1.898613851	-1.101950284	0.203228848	raredmg	Inflammation	CD6:P30203:OID20649:v1:Inflammation	1.20754E-13	-1.502210274	11	60971680	61020377
PLG	RSPO3	trans-position, trans-gene	45621	276	45345	1.59e-13	-0.406139604	-0.513974892	-0.298304315	0.055017555	flexnonsynmtr	Oncology	RSPO3:Q9BXY4:OID21415:v1:Oncology	7.71847E-13	-0.380734787	6	160702238	160754097
APOD	APOD	cis-position, cis-gene	43925	33	43892	1.63e-13	-1.253160254	-1.58604956	-0.920270949	0.169839921	ptvraredmg	InflammationII	APOD:P05090:OID30746:v1:InflammationII	1.02365E-13	-1.180708705	3	195568705	195584033
STAB2	PODXL2	trans-position, trans-gene	45388	989	44399	1.63e-13	0.23416156	0.171956162	0.296366959	0.031737185	flexdmg	Oncology	PODXL2:Q9NZ53:OID21487:v1:Oncology	5.2038E-15	0.233769734	12	103587273	103766719
SLAMF7	SLAMF7	cis-position, cis-gene	45190	19	45171	1.68e-13	-1.674466566	-2.119502497	-1.229430636	0.227057236	ptv	Inflammation	SLAMF7:Q9NQ25:OID20602:v1:Inflammation	1.08416E-13	-1.67631971	1	160739057	160754821
ZNF446	A1BG	cis-position, trans-gene	45680	227	45453	1.7e-13	-0.462114792	-0.584967013	-0.33926257	0.062679195	flexnonsynmtr	InflammationII	A1BG:P04217:OID30771:v1:InflammationII	1.60804E-12	-0.420669788	19	58474543	58489533
FCGR3B	FCGR3B	cis-position, cis-gene	45292	57	45235	1.75e-13	-0.956183304	-1.210506887	-0.701859721	0.129755845	flexnonsynmtr	Cardiometabolic	FCGR3B:O75015:OID20387:v1:Cardiometabolic	8.95211E-15	-0.970469122	1	161623196	161631963
CARHSP1	CARHSP1	cis-position, cis-gene	44217	79	44138	1.79e-13	-0.806664151	-1.021305465	-0.592022837	0.109509888	flexdmg	Neurology	CARHSP1:Q9Y2V2:OID20859:v1:Neurology	1.73332E-15	-0.85126787	16	8852942	8869012
VEGFD	VEGFD	cis-position, cis-gene	45680	7	45673	1.88e-13	-2.711621187	-3.433842694	-1.989399679	0.368477364	ptv	Inflammation	VEGFD:O43915:OID20662:v1:Inflammation	1.70178E-15	-2.748641721	X	15345596	15384413
IL10RB	IL10RB	cis-position, cis-gene	45452	43	45409	1.95e-13	-1.081004361	-1.369114598	-0.792894124	0.146993804	flexdmg	Inflammation	IL10RB:Q08334:OID20696:v1:Inflammation	2.41283E-16	-1.156060796	21	33266367	33310187
PBLD	PBLD	cis-position, cis-gene	44217	43	44174	2.09e-13	-1.100737783	-1.39445909	-0.807016476	0.14985646	flexdmg	Neurology	PBLD:P30039:OID20839:v1:Neurology	5.37559E-15	-1.110036044	10	68282660	68333049
LRRC14B	PDCD6	cis-position, trans-gene	45276	58	45218	2.16e-13	-0.958952491	-1.215008624	-0.702896357	0.130639791	ptv	Cardiometabolic	PDCD6:O75340:OID20163:v1:Cardiometabolic	2.60214E-13	-0.91763327	5	191511	195353
SH2B3	NCR1	trans-position, trans-gene	45121	302	44819	2.22e-13	0.41090095	0.301130944	0.520670957	0.056004632	flexnonsynmtr	Inflammation	NCR1:O76036:OID20566:v1:Inflammation	5.13081E-12	0.362496537	12	111405923	111451623
CD80	CD80	cis-position, cis-gene	45616	28	45588	2.25e-13	-1.325656522	-1.679878682	-0.971434363	0.180724115	raredmg	CardiometabolicII	CD80:P33681:OID30291:v1:CardiometabolicII	4.9106E-12	-1.213366815	3	119524293	119559614
STAB1	VWF	trans-position, trans-gene	45810	727	45083	2.3e-13	0.270349766	0.198080148	0.342619385	0.036871957	ptvraredmg	Cardiometabolic	VWF:P04275:OID20256:v1:Cardiometabolic	1.32515E-14	0.265379677	3	52495338	52524495
THAP12	CES3	trans-position, trans-gene	45042	31	45011	2.36e-13	-1.292094287	-1.637644196	-0.946544378	0.176299474	flexdmg	Oncology	CES3:Q6UWW8:OID21340:v1:Oncology	4.22184E-13	-1.241023137	11	76349898	76381132
NUDT2	NUDT2	cis-position, cis-gene	45042	51	44991	2.38e-13	-1.017512642	-1.289672137	-0.745353148	0.138855703	flexdmg	Oncology	NUDT2:P50583:OID21308:v1:Oncology	3.05731E-14	-1.007616009	9	34329506	34343711
RND2	VAT1	cis-position, trans-gene	45042	111	44931	2.43e-13	-0.687523424	-0.871490408	-0.503556441	0.093859907	flexnonsynmtr	Oncology	VAT1:Q99536:OID21382:v1:Oncology	1.26301E-11	-0.609880185	17	43025241	43032041
FURIN	FURIN	cis-position, cis-gene	45388	109	45279	2.44e-13	-0.684281684	-0.867395442	-0.501167925	0.093424611	ptvraredmg	Oncology	FURIN:P09958:OID21514:v1:Oncology	9.05225E-14	-0.656124861	15	90868588	90883564
MEP1B	MEP1B	cis-position, cis-gene	45276	169	45107	2.44e-13	-0.557318103	-0.706456711	-0.408179495	0.07609049	flexdmg	Cardiometabolic	MEP1B:Q16820:OID20168:v1:Cardiometabolic	2.22899E-12	-0.513917385	18	32185069	32220404
LBP	LBP	cis-position, cis-gene	45433	20	45413	2.52e-13	-1.612324141	-2.0440325	-1.180615782	0.220257544	ptv	Cardiometabolic	LBP:P18428:OID20355:v1:Cardiometabolic	4.57472E-24	-1.64921956	20	38346482	38377013
LILRB1	LILRB1	cis-position, cis-gene	45810	23	45787	2.59e-13	-1.479626881	-1.876000997	-1.083252764	0.202230063	ptv	Cardiometabolic	LILRB1:Q8NHL6:OID20323:v1:Cardiometabolic	2.14203E-15	-1.490803384	19	54617158	54638022
LAMP2	LAMP2	cis-position, cis-gene	43872	324	43548	2.61e-13	-0.394703896	-0.500455799	-0.288951993	0.053954555	rec	Neurology	LAMP2:P13473:OID21035:v1:Neurology	1.42834E-12	-0.375954085	X	120426148	120469365
IL18	IL18	cis-position, cis-gene	45078	14	45064	2.64e-13	-1.874602334	-2.376989949	-1.37221472	0.256318036	flexnonsynmtr	Inflammation	IL18:Q14116:OID20694:v1:Inflammation	2.81844E-13	-1.713335559	11	112143253	112164096
ITGB7	ITGB7	cis-position, cis-gene	45621	280	45341	2.66e-13	-0.435162044	-0.551793701	-0.318530388	0.059505461	flexdmg	Oncology	ITGB7:P26010:OID21393:v1:Oncology	3.02123E-12	-0.394650326	12	53191323	53207282
TTLL12	DNAJB1	trans-position, trans-gene	45042	190	44852	2.71e-13	-0.519889427	-0.659283873	-0.38049498	0.07111901	flexdmg	Oncology	DNAJB1:P25685:OID21363:v1:Oncology	2.67251E-14	-0.516465699	22	43166622	43187131
ASGR1	MERTK	trans-position, trans-gene	45752	106	45646	2.86e-13	0.67329928	0.492597602	0.854000959	0.092193988	flexdmg	Inflammation	MERTK:Q12866:OID20657:v1:Inflammation	1.26285E-12	0.641462225	17	7173431	7179564
ASGR1	OPTC	trans-position, trans-gene	45042	104	44938	2.91e-13	0.684942052	0.501054578	0.868829526	0.093819342	ptvraredmg	Oncology	OPTC:Q9UBM4:OID21362:v1:Oncology	1.15625E-13	0.68000305	17	7173431	7179564
TET2	CD86	trans-position, trans-gene	45423	73	45350	2.93e-13	0.827891778	0.60560516	1.050178397	0.113410601	ptv	OncologyII	CD86:P42081:OID31500:v1:OncologyII	2.48641E-13	0.826601453	4	105145875	105279816
TET2	CLEC4C	trans-position, trans-gene	45190	92	45098	2.93e-13	0.75286001	0.550712323	0.955007697	0.103135707	UR	Inflammation	CLEC4C:Q8WTT0:OID20547:v1:Inflammation	3.28081E-12	0.699642394	4	105145875	105279816
LGALS4	LGALS4	cis-position, cis-gene	45225	23	45202	3.02e-13	-1.45616838	-1.847370504	-1.064966257	0.199591244	ptv	Inflammation	LGALS4:P56470:OID20748:v1:Inflammation	2.37468E-15	-1.485421094	19	38801671	38812945
CD163	FOLR2	trans-position, trans-gene	45644	58	45586	3.05e-13	0.914734632	0.668944757	1.160524506	0.125401975	ptvraredmg	Neurology	FOLR2:P14207:OID21062:v1:Neurology	2.39106E-13	0.858565766	12	7470811	7503893
ASGR1	BOC	trans-position, trans-gene	44454	101	44353	3.18e-13	0.710321052	0.519311845	0.90133026	0.097452813	flexdmg	Cardiometabolic	BOC:Q9BWV1:OID20116:v1:Cardiometabolic	2.80876E-13	0.695797313	17	7173431	7179564
ENG	ENG	cis-position, cis-gene	45810	6	45804	3.31e-13	-2.941046573	-3.732528277	-2.149564869	0.403813942	ptv	Cardiometabolic	ENG:P17813:OID20287:v1:Cardiometabolic	4.0427E-13	-2.934688005	9	127815013	127854658
C7orf61	PILRA	cis-position, trans-gene	45260	75	45185	3.66e-13	-0.812002314	-1.030930473	-0.593074155	0.111697104	ptv	Neurology	PILRA:Q9UKJ1:OID21129:v1:Neurology	1.27724E-12	-0.772781463	7	100456615	100464271
ASGR1	CRTAM	trans-position, trans-gene	44914	103	44811	3.71e-13	0.700385868	0.511505983	0.889265753	0.096366461	flexdmg	Neurology	CRTAM:O95727:OID20914:v1:Neurology	2.79733E-13	0.687595374	17	7173431	7179564
PON2	PON2	cis-position, cis-gene	44454	18	44436	3.71e-13	-1.704163256	-2.163748975	-1.244577537	0.234480431	ptv	Cardiometabolic	PON2:Q15165:OID20088:v1:Cardiometabolic	8.55095E-15	-1.615011711	7	95404862	95435329
ASGR1	PTPRM	trans-position, trans-gene	45115	104	45011	3.76e-13	0.692478263	0.505687772	0.879268753	0.095300464	ptvraredmg	Inflammation	PTPRM:P28827:OID20598:v1:Inflammation	9.88829E-13	0.670026714	17	7173431	7179564
G6PC	ERBB3	trans-position, trans-gene	45090	250	44840	3.77e-13	0.429023177	0.313288865	0.544757488	0.059047617	flexdmg	Inflammation	ERBB3:P21860:OID20705:v1:Inflammation	3.02597E-12	0.399881019	17	42900797	42914433
ASGR1	MEGF10	trans-position, trans-gene	45225	104	45121	3.8e-13	0.695560328	0.507892888	0.883227767	0.09574789	flexdmg	Inflammation	MEGF10:Q96KG7:OID20746:v1:Inflammation	3.10039E-13	0.68189719	17	7173431	7179564
PSG1	PSG1	cis-position, cis-gene	44914	120	44794	3.88e-13	-0.645245128	-0.819401149	-0.471089106	0.08885435	flexdmg	Neurology	PSG1:P11464:OID20916:v1:Neurology	1.98777E-14	-0.656137406	19	42866464	42879822
KNG1	F11	trans-position, trans-gene	45109	89	45020	3.89e-13	-0.738269246	-0.937546694	-0.538991798	0.101671307	flexdmg	InflammationII	F11:P03951:OID30773:v1:InflammationII	1.06414E-13	-0.730662654	3	186717309	186744410
CLSTN2	CLSTN2	cis-position, cis-gene	45752	6	45746	4.19e-13	-2.91059533	-3.69732019	-2.123870469	0.401386987	ptv	Inflammation	CLSTN2:Q9H4D0:OID20664:v1:Inflammation	1.27457E-11	-2.356113841	3	139935185	140577397
RPGR	SRPX	cis-position, trans-gene	45616	181	45435	4.29e-13	-0.49816079	-0.632869495	-0.363452085	0.06872837	rec	CardiometabolicII	SRPX:P78539:OID30310:v1:CardiometabolicII	5.35152E-12	-0.411834555	X	38269163	38327544
TBC1D5	TBC1D5	cis-position, cis-gene	45190	68	45122	4.94e-13	-0.851378503	-1.082208774	-0.620548233	0.117769555	ptv	Inflammation	TBC1D5:Q92609:OID20521:v1:Inflammation	1.25412E-13	-0.853987436	3	17157162	18444817
ASAH2	ASAH2	cis-position, cis-gene	44914	29	44885	5.42e-13	-1.28803644	-1.637865715	-0.938207166	0.178482792	ptv	Neurology	ASAH2:Q9NR71:OID20996:v1:Neurology	8.38482E-13	-1.286051912	10	50182778	50279720
LIPF	LIPF	cis-position, cis-gene	44457	99	44358	5.47e-13	-0.702056326	-0.892769765	-0.511342887	0.097301913	ptvraredmg	CardiometabolicII	LIPF:P07098:OID30266:v1:CardiometabolicII	5.67958E-11	-0.622142383	10	88664441	88678814
STAB1	PCSK9	trans-position, trans-gene	45810	1247	44563	5.79e-13	0.20076206	0.146166637	0.255357483	0.027854583	flexdmg	Cardiometabolic	PCSK9:Q8NBP7:OID20235:v1:Cardiometabolic	2.48098E-13	0.195246349	3	52495338	52524495
C1QA	HTRA2	trans-position, trans-gene	45388	102	45286	5.8e-13	-0.704363075	-0.895917688	-0.512808461	0.097731134	flexnonsynmtr	Oncology	HTRA2:O43464:OID21471:v1:Oncology	1.12949E-09	-0.561941174	1	22636628	22639678
PPM1F	PPM1F	cis-position, cis-gene	45616	52	45564	6.29e-13	-0.988615122	-1.25788179	-0.719348454	0.137379831	flexdmg	CardiometabolicII	PPM1F:P49593:OID30350:v1:CardiometabolicII	1.11925E-11	-0.862347455	22	21919425	21952848
SEMA3F	SEMA3F	cis-position, cis-gene	45276	135	45141	6.34e-13	-0.595144061	-0.757269616	-0.433018506	0.082716428	flexdmg	Cardiometabolic	SEMA3F:Q13275:OID20186:v1:Cardiometabolic	1.05455E-13	-0.594144629	3	50155045	50189075
APOBR	APOBR	cis-position, cis-gene	44457	53	44404	6.41e-13	-0.977242356	-1.243510655	-0.710974057	0.135849969	ptv	CardiometabolicII	APOBR:Q0VD83:OID30246:v1:CardiometabolicII	3.67628E-13	-0.949331191	16	28494643	28498964
IGSF9	IGSF9	cis-position, cis-gene	45616	168	45448	6.85e-13	-0.540259879	-0.687647982	-0.392871775	0.075197398	ptvraredmg	CardiometabolicII	IGSF9:Q9P2J2:OID30330:v1:CardiometabolicII	2.8718E-13	-0.516733144	1	159927039	159945613
STAB1	ASPN	trans-position, trans-gene	45616	726	44890	7.19e-13	0.259993082	0.188998547	0.330987616	0.036221405	ptvraredmg	CardiometabolicII	ASPN:Q9BXN1:OID30315:v1:CardiometabolicII	5.86899E-15	0.263902831	3	52495338	52524495
NCAN	NCAN	cis-position, cis-gene	45644	13	45631	7.27e-13	-1.857343982	-2.364620411	-1.350067554	0.258812394	ptv	Neurology	NCAN:O14594:OID21055:v1:Neurology	1.10387E-12	-1.852941819	19	19211958	19252233
ASGR1	SEMA7A	trans-position, trans-gene	45667	106	45561	7.29e-13	0.685959854	0.498601097	0.873318611	0.095590424	flexdmg	Cardiometabolic	SEMA7A:O75326:OID20283:v1:Cardiometabolic	9.92555E-13	0.668353595	17	7173431	7179564
MUC17	PILRB	cis-position, trans-gene	45275	1073	44202	7.35e-13	-0.216744653	-0.275955189	-0.157534116	0.030209204	rec	Cardiometabolic	PILRB:Q9UKJ0:OID20197:v1:Cardiometabolic	6.61328E-10	-0.169437959	7	101020076	101058859
HIST1H2BO	LRPAP1	trans-position, trans-gene	45644	77	45567	7.43e-13	0.798549255	0.580354284	1.016744226	0.111323057	flexdmg	Neurology	LRPAP1:P30533:OID21059:v1:Neurology	5.7009E-13	0.788088631	6	27893425	27893891
ASGR1	PECAM1	trans-position, trans-gene	45260	103	45157	7.48e-13	0.699091068	0.50805041	0.890131726	0.097468907	flexdmg	Neurology	PECAM1:P16284:OID21131:v1:Neurology	1.5576E-12	0.674737044	17	7173431	7179564
ZNF548	SIRPB1	trans-position, trans-gene	45157	57	45100	7.51e-13	0.926661445	0.673414002	1.179908887	0.129206788	flexdmg	Inflammation	SIRPB1:O00241:OID20739:v1:Inflammation	9.26245E-13	0.90018153	19	57389850	57402551
IL2RB	IL15	trans-position, trans-gene	45190	52	45138	7.62e-13	0.986772542	0.717018455	1.256526629	0.137628477	ptvraredmg	Inflammation	IL15:P40933:OID20562:v1:Inflammation	8.96301E-12	0.859849928	22	37125843	37175054
PLAT	SERPINI1	trans-position, trans-gene	44582	245	44337	7.79e-13	-0.446493013	-0.568599447	-0.324386579	0.062298654	flexdmg	InflammationII	SERPINI1:Q99574:OID30604:v1:InflammationII	4.96222E-14	-0.443051637	8	42174718	42207709
ASGR1	GPNMB	trans-position, trans-gene	44050	105	43945	7.93e-13	0.685442436	0.497924561	0.872960311	0.095671513	flexdmg	Cardiometabolic	GPNMB:Q14956:OID20173:v1:Cardiometabolic	5.96844E-14	0.702613172	17	7173431	7179564
ZNF343	PSG1	trans-position, trans-gene	44914	175	44739	8.28e-13	0.527055377	0.382745605	0.671365149	0.073626803	flexnonsynmtr	Neurology	PSG1:P11464:OID20916:v1:Neurology	7.53797E-13	0.483265792	20	2480071	2524522
ASGR1	SDC1	trans-position, trans-gene	45276	106	45170	8.71e-13	0.669989574	0.486365103	0.853614046	0.093685171	ptvraredmg	Cardiometabolic	SDC1:P18827:OID20169:v1:Cardiometabolic	2.3957E-14	0.700443858	17	7173431	7179564
B4GALNT3	WIF1	trans-position, trans-gene	45621	337	45284	8.94e-13	0.378891585	0.274996594	0.482786577	0.053007216	flexdmg	Oncology	WIF1:Q9Y5W5:OID21464:v1:Oncology	6.0373E-12	0.347703818	12	460377	561892
ASGR1	EPHA4	trans-position, trans-gene	44654	104	44550	9.33e-13	0.698670764	0.506934693	0.890406835	0.097823671	ptvraredmg	InflammationII	EPHA4:P54764:OID30622:v1:InflammationII	1.89501E-12	0.673390014	17	7173431	7179564
TSTA3	KEL	trans-position, trans-gene	44217	167	44050	9.35e-13	-0.528434505	-0.673459926	-0.383409084	0.073991895	flexdmg	Neurology	KEL:P23276:OID20881:v1:Neurology	3.45293E-15	-0.55808112	8	143612618	143618043
GP9	GP1BA	trans-position, trans-gene	45047	103	44944	9.51e-13	-0.694991285	-0.885787005	-0.504195565	0.097343927	flexdmg	Cardiometabolic	GP1BA:P07359:OID20381:v1:Cardiometabolic	6.94698E-13	-0.653999819	3	129055449	129062411
FAP	ADM	trans-position, trans-gene	45621	142	45479	9.53e-13	0.54735989	0.397085757	0.697634024	0.07666985	ptvraredmg	Oncology	ADM:P35318:OID21467:v1:Oncology	5.86216E-14	0.551856495	2	162170684	162245151
ASGR1	CHL1	trans-position, trans-gene	45362	104	45258	9.59e-13	0.691120762	0.501354852	0.880886672	0.096818537	ptvraredmg	Cardiometabolic	CHL1:O00533:OID20366:v1:Cardiometabolic	2.86311E-13	0.693618952	17	7173431	7179564
PHLDB1	SCN4B	cis-position, trans-gene	44456	560	43896	9.59e-13	-0.292228105	-0.372467517	-0.211988692	0.040938113	rec	CardiometabolicII	SCN4B:Q8IWT1:OID30277:v1:CardiometabolicII	2.1714E-11	-0.272780065	11	118606440	118658031
CD99L2	CD99L2	cis-position, cis-gene	45260	6	45254	9.93e-13	-2.844859083	-3.626518136	-2.063200029	0.398802298	URmtr	Neurology	CD99L2:Q8TCZ2:OID21122:v1:Neurology	9.83626E-13	-2.842602147	X	150766336	150898816
PSG7	CEACAM21	trans-position, trans-gene	45190	46	45144	1.04e-12	1.035240177	0.750565218	1.319915136	0.145241103	ptv	Inflammation	CEACAM21:Q3KPI0:OID20548:v1:Inflammation	2.69328E-10	0.848687121	19	42924132	42937178
PLAUR	PLAUR	cis-position, cis-gene	44935	63	44872	1.06e-12	-0.855333755	-1.090647786	-0.620019725	0.12005715	ptvraredmg	Inflammation	PLAUR:Q03405:OID20764:v1:Inflammation	1.45904E-15	-0.931880258	19	43646095	43670547
FLG	KLK8	trans-position, trans-gene	43747	534	43213	1.08e-12	0.297751841	0.215815124	0.379688558	0.041804058	ptv	Oncology	KLK8:O60259:OID21517:v1:Oncology	2.62807E-13	0.289254388	1	152302163	152325257
ABCA1	BPIFB1	trans-position, trans-gene	45144	756	44388	1.1e-12	-0.25151078	-0.320751087	-0.182270472	0.035326389	flexdmg	Cardiometabolic	BPIFB1:Q8TDL5:OID20308:v1:Cardiometabolic	2.38742E-13	-0.244355954	9	104781002	104928246
ANXA11	ANXA11	cis-position, cis-gene	45115	86	45029	1.13e-12	-0.765118118	-0.975851556	-0.554384681	0.10751615	ptvraredmg	Inflammation	ANXA11:P50995:OID20583:v1:Inflammation	7.18522E-13	-0.695945207	10	80150889	80205572
FUT1	ENG	trans-position, trans-gene	45810	211	45599	1.13e-12	0.485600798	0.35184168	0.619359917	0.068243898	flexdmg	Cardiometabolic	ENG:P17813:OID20287:v1:Cardiometabolic	4.25166E-13	0.477724486	19	48748011	48755390
CCL18	CCL18	cis-position, cis-gene	44626	16	44610	1.17e-12	-1.702945793	-2.17233541	-1.233556175	0.239482401	ptv	Cardiometabolic	CCL18:P55774:OID20395:v1:Cardiometabolic	6.65827E-14	-1.61001181	17	36064272	36072032
SUSD4	SUSD4	cis-position, cis-gene	45424	105	45319	1.2e-12	-0.677716764	-0.864620942	-0.490812586	0.095358485	flexdmg	OncologyII	SUSD4:Q5VX71:OID31398:v1:OncologyII	7.58066E-14	-0.687231485	1	223220819	223364233
MUC16	MUC16	cis-position, cis-gene	45042	385	44657	1.21e-12	-0.362118628	-0.462002199	-0.262235058	0.050960572	ptv	Oncology	MUC16:Q8WXI7:OID21378:v1:Oncology	6.88708E-14	-0.362271831	19	8848844	8981342
PINLYP	PINLYP	cis-position, cis-gene	44654	59	44595	1.26e-12	-0.915143589	-1.167738653	-0.662548526	0.128873906	raredmg	InflammationII	PINLYP:A6NC86:OID30651:v1:InflammationII	5.5601E-15	-0.959244651	19	43575801	43583964
ASGR1	BST1	trans-position, trans-gene	45644	106	45538	1.31e-12	0.686098089	0.496557886	0.875638291	0.096703396	flexdmg	Neurology	BST1:Q10588:OID21051:v1:Neurology	6.61097E-13	0.673464061	17	7173431	7179564
STAB1	CNDP1	trans-position, trans-gene	45433	1230	44203	1.33e-12	0.202207491	0.146328711	0.258086272	0.028509346	flexdmg	Cardiometabolic	CNDP1:Q96KN2:OID20347:v1:Cardiometabolic	3.04105E-12	0.190691179	3	52495338	52524495
IL12RB1	IL12RB1	cis-position, cis-gene	44437	204	44233	1.39e-12	-0.491024571	-0.626822943	-0.3552262	0.069284269	flexdmg	Inflammation	IL12RB1:P42701:OID20486:v1:Inflammation	7.66557E-14	-0.499096028	19	18058995	18098944
HLA-DQA1	MICB_MICA	trans-position, trans-gene	45190	28	45162	1.39e-12	1.320864729	0.955574102	1.686155356	0.1863712	flexdmg	Inflammation	MICB_MICA:Q29980_Q29983:OID20593:v1:Inflammation	1.76114E-12	1.322464703	6	32637396	32654774
CKAP2L	MMP1	trans-position, trans-gene	43610	95	43515	1.39e-12	0.720261928	0.521053108	0.919470748	0.101636199	flexdmg	Inflammation	MMP1:P03956:OID20672:v1:Inflammation	2.95474E-13	0.728749565	2	112736349	112764677
LDLR	PLA2G7	trans-position, trans-gene	45260	412	44848	1.41e-12	0.330323229	0.238937393	0.421709065	0.046625036	flexdmg	Neurology	PLA2G7:Q13093:OID21105:v1:Neurology	7.36896E-15	0.34230069	19	11089462	11133820
RRM2B	RRM2B	cis-position, cis-gene	44180	103	44077	1.42e-12	-0.693067829	-0.884815215	-0.501320444	0.097829415	ptvraredmg	Oncology	RRM2B:Q7LG56:OID21174:v1:Oncology	1.79416E-13	-0.706844178	8	102204502	102238961
KLK15	KLK15	cis-position, cis-gene	45356	13	45343	1.46e-12	-1.962315009	-2.505535111	-1.419094907	0.277150807	rec	OncologyII	KLK15:Q9H2R5:OID31427:v1:OncologyII	3.85954E-14	-1.931726608	19	50825289	50837213
MSLN	MSLN	cis-position, cis-gene	44978	377	44601	1.51e-12	0.35351679	0.255584599	0.451448981	0.049964976	flexnonsynmtr	Oncology	MSLN:Q13421:OID21380:v1:Oncology	4.94425E-14	0.353951667	16	760734	768865
PKM	CD276	trans-position, trans-gene	45225	47	45178	1.52e-12	-0.985715036	-1.25881083	-0.712619241	0.139333419	ptv	Inflammation	CD276:Q5ZPR3:OID20680:v1:Inflammation	1.28998E-12	-0.945217213	15	72199029	72231812
IL17C	IL17C	cis-position, cis-gene	44437	50	44387	1.52e-12	-0.977233377	-1.247985033	-0.706481722	0.138137374	ptvraredmg	Inflammation	IL17C:Q9P0M4:OID20477:v1:Inflammation	6.65336E-13	-0.956536907	16	88638572	88640468
DTD1	DTD1	cis-position, cis-gene	44654	180	44474	1.53e-12	-0.521757423	-0.666324883	-0.377189963	0.073758263	flexnonsynmtr	InflammationII	DTD1:Q8TEA8:OID30580:v1:InflammationII	1.22321E-12	-0.516006744	20	18587942	18766644
ASGR1	CDON	trans-position, trans-gene	45300	104	45196	1.59e-12	0.666185803	0.481446528	0.850925079	0.094253945	flexdmg	Inflammation	CDON:Q4KMG0:OID20754:v1:Inflammation	6.24773E-13	0.665134059	17	7173431	7179564
KLRK1	KLRK1	cis-position, cis-gene	45493	17	45476	1.6e-12	-1.714521875	-2.19001493	-1.23902882	0.242596498	flexdmg	NeurologyII	KLRK1:P26718:OID31082:v1:NeurologyII	4.33324E-10	-1.298671925	12	10372353	10391874
NBN	NBN	cis-position, cis-gene	44437	263	44174	1.61e-12	-0.428819441	-0.547754015	-0.309884868	0.060680366	flexdmg	Inflammation	NBN:O60934:OID20442:v1:Inflammation	2.35805E-13	-0.431218395	8	89933331	90003228
ASGR1	ADA2	trans-position, trans-gene	44988	104	44884	1.64e-12	0.669201101	0.483521118	0.854881084	0.094733876	ptvraredmg	Cardiometabolic	ADA2:Q9NZK5:OID20394:v1:Cardiometabolic	2.32037E-12	0.652218007	17	7173431	7179564
DFFA	PGD	cis-position, trans-gene	45616	113	45503	1.76e-12	0.651417373	0.470426119	0.832408627	0.092341722	flexdmg	CardiometabolicII	PGD:P52209:OID30344:v1:CardiometabolicII	5.37196E-11	0.576958418	1	10456522	10472529
SDC4	SDC4	cis-position, cis-gene	45276	14	45262	1.8e-12	-1.868768122	-2.388212309	-1.349323936	0.265020326	ptv	Cardiometabolic	SDC4:P31431:OID20216:v1:Cardiometabolic	1.83789E-12	-1.871021808	20	45325288	45348424
